Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for general (half-hourly)"
User Start Date:,2025-05-01T00:00:00Z
User End Date:,2025-06-01T23:59:59Z
User Bounding Box:,"31.38,31.28,77.12,77.22"
Data Bounding Box:,"31.45,31.35,77.05,77.15"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2025-05-01T00:00:00Z&endtime=2025-06-01T23:59:59Z&bbox=31.38,31.28,77.12,77.22&data=GPM_3IMERGHH_07_precipitation&dataKeyword=GPM_3IMERGHH%20v07&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2025-05-01 00:00:00,0.0304740388
2025-05-01 00:30:00,0.0297696311
2025-05-01 01:00:00,0.0329732336
2025-05-01 01:30:00,0.0313565619
2025-05-01 02:00:00,0.0323795192
2025-05-01 02:30:00,0.0349372253
2025-05-01 03:00:00,0.0348102376
2025-05-01 03:30:00,0.0320698544
2025-05-01 04:00:00,0.0318637155
2025-05-01 04:30:00,0.0284451004
2025-05-01 05:00:00,0.0266691111
2025-05-01 05:30:00,0.0259484779
2025-05-01 06:00:00,0.0227144305
2025-05-01 06:30:00,0.0223610345
2025-05-01 07:00:00,0.0213574041
2025-05-01 07:30:00,0.0235959645
2025-05-01 08:00:00,0.0268374439
2025-05-01 08:30:00,0.0301869623
2025-05-01 09:00:00,0.0314437225
2025-05-01 09:30:00,0.0351610146
2025-05-01 10:00:00,0.0379857011
2025-05-01 10:30:00,0.0425253548
2025-05-01 11:00:00,0.0443757698
2025-05-01 11:30:00,0.0542202592
2025-05-01 12:00:00,0.0580282062
2025-05-01 12:30:00,0.0611139983
2025-05-01 13:00:00,0.0692296326
2025-05-01 13:30:00,0.0695695207
2025-05-01 14:00:00,0.0733124763
2025-05-01 14:30:00,0.0690456703
2025-05-01 15:00:00,0.0727052093
2025-05-01 15:30:00,0.0716961771
2025-05-01 16:00:00,0.0664798543
2025-05-01 16:30:00,0.0629542321
2025-05-01 17:00:00,0.066852957
2025-05-01 17:30:00,0.053494405
2025-05-01 18:00:00,0.0507568717
2025-05-01 18:30:00,0.0539508574
2025-05-01 19:00:00,0.06104872
2025-05-01 19:30:00,0.0560470223
2025-05-01 20:00:00,0.0528691672
2025-05-01 20:30:00,0.0521734543
2025-05-01 21:00:00,0.0518724136
2025-05-01 21:30:00,0.0559987761
2025-05-01 22:00:00,0.0455998927
2025-05-01 22:30:00,0.0467614755
2025-05-01 23:00:00,0.0496951602
2025-05-01 23:30:00,0.0503603742
2025-05-02 00:00:00,0.0522608943
2025-05-02 00:30:00,0.0581182428
2025-05-02 01:00:00,0.0564147308
2025-05-02 01:30:00,0.0556015968
2025-05-02 02:00:00,0.0548439249
2025-05-02 02:30:00,0.0597208664
2025-05-02 03:00:00,0.0523696654
2025-05-02 03:30:00,0.0501147471
2025-05-02 04:00:00,0.0486484468
2025-05-02 04:30:00,0.0454187915
2025-05-02 05:00:00,0.0464678742
2025-05-02 05:30:00,0.0413640141
2025-05-02 06:00:00,0.0337818749
2025-05-02 06:30:00,0.0322541445
2025-05-02 07:00:00,0.0352576077
2025-05-02 07:30:00,0.0385169536
2025-05-02 08:00:00,0.0389160663
2025-05-02 08:30:00,0.0407092646
2025-05-02 09:00:00,0.0427238159
2025-05-02 09:30:00,0.0423803516
2025-05-02 10:00:00,0.0444504581
2025-05-02 10:30:00,0.0482130647
2025-05-02 11:00:00,0.0581915677
2025-05-02 11:30:00,0.0610976033
2025-05-02 12:00:00,0.0599260442
2025-05-02 12:30:00,0.0620958805
2025-05-02 13:00:00,0.0644589216
2025-05-02 13:30:00,0.0635373518
2025-05-02 14:00:00,0.0654818639
2025-05-02 14:30:00,0.0659827217
2025-05-02 15:00:00,0.0629758835
2025-05-02 15:30:00,0.0571070872
2025-05-02 16:00:00,0.0541840754
2025-05-02 16:30:00,0.0504077002
2025-05-02 17:00:00,0.049094256
2025-05-02 17:30:00,0.0452568419
2025-05-02 18:00:00,0.0437814817
2025-05-02 18:30:00,0.0420808345
2025-05-02 19:00:00,0.0428240411
2025-05-02 19:30:00,0.0409826264
2025-05-02 20:00:00,0.0466476902
2025-05-02 20:30:00,0.0431773774
2025-05-02 21:00:00,0.0427343212
2025-05-02 21:30:00,0.0400555059
2025-05-02 22:00:00,0.0461254641
2025-05-02 22:30:00,0.0481139421
2025-05-02 23:00:00,0.0527465604
2025-05-02 23:30:00,0.0593692064
2025-05-03 00:00:00,0.0642445609
2025-05-03 00:30:00,0.0694341511
2025-05-03 01:00:00,0.0762999728
2025-05-03 01:30:00,0.0747207031
2025-05-03 02:00:00,0.0760564357
2025-05-03 02:30:00,0.0749733448
2025-05-03 03:00:00,0.0784515291
2025-05-03 03:30:00,0.0790299773
2025-05-03 04:00:00,0.0817453191
2025-05-03 04:30:00,0.0800183713
2025-05-03 05:00:00,0.0797222555
2025-05-03 05:30:00,0.0742868856
2025-05-03 06:00:00,0.0715390667
2025-05-03 06:30:00,0.069161281
2025-05-03 07:00:00,0.071184136
2025-05-03 07:30:00,0.0779407397
2025-05-03 08:00:00,0.0763422996
2025-05-03 08:30:00,0.0779962838
2025-05-03 09:00:00,0.081824407
2025-05-03 09:30:00,0.0815778598
2025-05-03 10:00:00,0.085381709
2025-05-03 10:30:00,0.088480942
2025-05-03 11:00:00,0.0934482887
2025-05-03 11:30:00,0.0958523229
2025-05-03 12:00:00,0.0969036072
2025-05-03 12:30:00,0.100380354
2025-05-03 13:00:00,0.0939996466
2025-05-03 13:30:00,0.0942017362
2025-05-03 14:00:00,0.0886606723
2025-05-03 14:30:00,0.086045891
2025-05-03 15:00:00,0.084398061
2025-05-03 15:30:00,0.0815414786
2025-05-03 16:00:00,0.0801435411
2025-05-03 16:30:00,0.0763035491
2025-05-03 17:00:00,0.0781633556
2025-05-03 17:30:00,0.0753325075
2025-05-03 18:00:00,0.0744560659
2025-05-03 18:30:00,0.073706165
2025-05-03 19:00:00,0.0663229451
2025-05-03 19:30:00,0.0656957179
2025-05-03 20:00:00,0.0651233494
2025-05-03 20:30:00,0.0656391084
2025-05-03 21:00:00,0.0690588281
2025-05-03 21:30:00,0.0675712898
2025-05-03 22:00:00,0.0673851743
2025-05-03 22:30:00,0.0630754456
2025-05-03 23:00:00,0.0649162009
2025-05-03 23:30:00,0.0660089329
2025-05-04 00:00:00,0.0625508726
2025-05-04 00:30:00,0.0611351021
2025-05-04 01:00:00,0.0577591322
2025-05-04 01:30:00,0.0583662428
2025-05-04 02:00:00,0.0575226694
2025-05-04 02:30:00,0.0607165843
2025-05-04 03:00:00,0.0630955249
2025-05-04 03:30:00,0.0573627241
2025-05-04 04:00:00,0.0558554791
2025-05-04 04:30:00,0.0557438433
2025-05-04 05:00:00,0.0475938655
2025-05-04 05:30:00,0.0415001549
2025-05-04 06:00:00,0.0360668935
2025-05-04 06:30:00,0.0354179926
2025-05-04 07:00:00,0.0342063531
2025-05-04 07:30:00,0.0333851911
2025-05-04 08:00:00,0.0337573737
2025-05-04 08:30:00,0.0358456708
2025-05-04 09:00:00,0.0351161622
2025-05-04 09:30:00,0.0386651047
2025-05-04 10:00:00,0.0400228798
2025-05-04 10:30:00,0.0449116565
2025-05-04 11:00:00,0.0540812463
2025-05-04 11:30:00,0.0547128394
